省份, 城市, 商圈, 具体位置, 服务
内蒙古,赤峰市,天津肯德基有限公司赤峰和美,临潢大街与西外环路交口西北角处一层底商,"Wi-Fi,手机点餐"
天津市,天津市,天津肯德基有限公司天津传媒学院,许家台镇盘山大道68号,手机点餐
天津市,天津市,天津肯德基有限公司天津民航大学,中国民航大学东丽校区北院大学生活动中心一层多功能厅,"Wi-Fi,手机点餐"
河北省,保定市,天津肯德基有限公司悦容,雄安新区容东片区B1组团7宗地善容路与乐安街交叉口东北侧善容路77号001商铺,手机点餐
天津市,天津市,天津肯德基有限公司天津全运村,渌水道南侧全运村云实园7-40号底商一层肯德基餐厅,手机点餐
河北省,唐山市,天津肯德基有限公司丰南晶海广场,西城区运河东路东侧、国丰大街南侧港岛中心商业综合体（晶海广场）B座一层F1250号商铺,"24小时,手机点餐"
河北省,石家庄市,天津肯德基有限公司栾城商博瑞,大桥路以北、鑫源路以南、龙威街东侧、育才街西侧，广厦财富中心B区A楼1楼001商铺,"点唱机,店内参观,手机点餐"
天津市,天津市,天津肯德基有限公司中海国际公园城,八里台镇天嘉湖路中海公园城东南侧海荟里7号楼1层,手机点餐
河北省,沧州市,天津肯德基有限公司沧州海丰道餐厅,解放东路华北商厦城市广场一层1005号,手机点餐
河北省,保定市,天津肯德基有限公司易县惠友,城区管理处厂东关村惠友广场一层,"Wi-Fi,店内参观,手机点餐"
河北省,保定市,天津肯德基有限公司河北大学五四校区小站,五四东路180号河北大学易佰生活驿站一层001号商铺,手机点餐
天津市,天津市,天津肯德基有限公司汊沽港津永公路,汊沽港津永公路与高王公路交口陶然居底商1号101及102商铺一层,"店内参观,手机点餐"
天津市,天津市,天津肯德基有限公司天津传媒学院,许家台镇盘山大道68号,手机点餐
河北省,承德市,天津肯德基有限公司承德万达,0314-7651362承德万达广场1026号,手机点餐
河北省,石家庄市,天津肯德基有限公司石家庄湾里庙步行街,湾里庙步行街月季广场Y01-1F-01、Y01-1F-02商铺,"店内参观,手机点餐"
天津市,天津市,天津肯德基有限公司天津民航大学,中国民航大学东丽校区北院大学生活动中心一层多功能厅,"Wi-Fi,手机点餐"
河北省,保定市,天津肯德基有限公司保定爱情广场,朝阳大街西，南二环北保定爱情广场商业综合体一层1019号、1020号,
天津市,天津市,天津肯德基有限公司武清来源道,来源道574号增1号1-01号商铺,手机点餐
天津市,天津市,天津肯德基有限公司天津空港经济区,空港经济区中心大道与东二道交口东北侧瑞航广场7/8-8—9门商铺,手机点餐
天津市,天津市,天津肯德基有限公司生态城万达,中新生态城和意路万达广场1033铺位,手机点餐
内蒙古,呼和浩特市,天津肯德基有限公司呼和浩特金穗餐厅,大台什路118号怡园小区1号楼-02号商铺一层商铺,手机点餐
内蒙古,赤峰市,天津肯德基有限公司赤峰和美,临潢大街与西外环路交口西北角处一层底商,"Wi-Fi,手机点餐"
河北省,承德市,天津肯德基有限公司承德县,下板城镇板城大街万晟国际广场1幢一层商06号、07号、101号,手机点餐
天津市,天津市,天津肯德基有限公司天津亲安路DT,亲安路1号公建101号铺位,
河北省,沧州市,天津肯德基有限公司沧州海丰道餐厅,解放东路华北商厦城市广场一层1005号,手机点餐
河北省,保定市,天津肯德基有限公司保定爱情广场,朝阳大街西，南二环北保定爱情广场商业综合体一层1019号、1020号,
天津市,天津市,天津肯德基有限公司天津全运村,渌水道南侧全运村云实园7-40号底商一层肯德基餐厅,手机点餐
天津市,天津市,天津肯德基有限公司武清来源道,来源道574号增1号1-01号商铺,手机点餐
内蒙古,呼和浩特市,天津肯德基有限公司呼和浩特金穗餐厅,大台什路118号怡园小区1号楼-02号商铺一层商铺,手机点餐
天津市,天津市,天津肯德基有限公司中海国际公园城,八里台镇天嘉湖路中海公园城东南侧海荟里7号楼1层,手机点餐
河北省,承德市,天津肯德基有限公司承德县,下板城镇板城大街万晟国际广场1幢一层商06号、07号、101号,手机点餐
河北省,承德市,天津肯德基有限公司承德万达,0314-7651362承德万达广场1026号,手机点餐
河北省,石家庄市,天津肯德基有限公司石家庄湾里庙步行街,湾里庙步行街月季广场Y01-1F-01、Y01-1F-02商铺,"店内参观,手机点餐"
河北省,廊坊市,天津肯德基有限公司固安新源街,新源西街南侧、家和路东侧金海太阳公园小区二期辅12#1单元1层1-105、1-106号,"点唱机,手机点餐"
天津市,天津市,天津肯德基有限公司生态城万达,中新生态城和意路万达广场1033铺位,手机点餐
天津市,天津市,天津肯德基有限公司汊沽港津永公路,汊沽港津永公路与高王公路交口陶然居底商1号101及102商铺一层,"店内参观,手机点餐"
河北省,石家庄市,天津肯德基有限公司石家庄果岭湾DT,龙泉路申后村北307国道路南壳牌加油站西边独栋物业001号商铺,手机点餐
河北省,保定市,天津肯德基有限公司易县惠友,城区管理处厂东关村惠友广场一层,"Wi-Fi,店内参观,手机点餐"
河北省,保定市,天津肯德基有限公司河北大学五四校区小站,五四东路180号河北大学易佰生活驿站一层001号商铺,手机点餐
河北省,石家庄市,天津肯德基有限公司栾城商博瑞,大桥路以北、鑫源路以南、龙威街东侧、育才街西侧，广厦财富中心B区A楼1楼001商铺,"点唱机,店内参观,手机点餐"
河北省,廊坊市,天津肯德基有限公司固安新源街,新源西街南侧、家和路东侧金海太阳公园小区二期辅12#1单元1层1-105、1-106号,"点唱机,手机点餐"
天津市,天津市,天津肯德基有限公司天津红星路DT ,红星路69号红星烟火集市铺位号A01号铺位,手机点餐
天津市,天津市,天津肯德基有限公司天津中塘DT,黄房子村文苑广场1层1号铺位的一部分及2号铺位和3号铺位,手机点餐
天津市,天津市,天津肯德基有限公司民航宁河校区小站,中国民航大学宁河校区生活商业街圆形咖啡厅,手机点餐
天津市,天津市,天津肯德基有限公司大张庄特美易购 ,大张庄镇永进道南侧辰祥大厦3号楼特美易购楼一层DS-02及DS-03的一部分商铺,手机点餐
河北省,邯郸市,天津肯德基有限公司邯郸临漳澳林,澳林城市之窗东北角肯德基餐厅,手机点餐
内蒙古,呼和浩特市,天津肯德基有限公司呼和浩特七彩城,石羊桥路以西大学西路以北七彩城购物中心下沉广场夹层钢结构一层1号,手机点餐
天津市,天津市,天津肯德基有限公司天津杉杉奥莱,杉杉奥特莱斯1层编号A-127店铺,手机点餐
天津市,天津市,天津肯德基有限公司天津成都道,成都道197号商业-1号一层商铺,手机点餐
河北省,唐山市,天津肯德基有限公司唐山曹妃甸大学城餐厅,唐山湾生态城学府商务中心7幢5号一层,"Wi-Fi,点唱机,手机点餐"
天津市,天津市,天津肯德基有限公司天津复康路DT ,复康路西段北侧翠庭园1-2-101号底商及中部部分区域一层A1铺位,"Wi-Fi,点唱机,手机点餐"
天津市,天津市,天津肯德基有限公司东马路仁恒,东马路129号仁恒置地广场仁恒伊势丹项目四期第一层编号1F-10商铺,手机点餐
河北省,秦皇岛市,天津肯德基有限公司山海关富力DT,正惠街以南、山广大街以北、潮河以西、规划路以东御江山项目S-1#商业楼1号,手机点餐
内蒙古,包头市,天津肯德基有限公司包头万水泉大街DT,稀土高新区滨河新区民馨2号一层,手机点餐
内蒙古,乌兰察布市,天津肯德基有限公司集宁满达DT,杜尔伯特街西侧兴和街北街转角处中国石化杜尔伯特二号加油站易捷便利店一层,手机点餐
天津市,天津市,天津肯德基有限公司天津北出站口,天津站后广场地下负一层商业区C区001号,手机点餐
天津市,天津市,天津肯德基有限公司动物园K-Coffee,动物园内河马馆前,手机点餐
河北省,唐山市,天津肯德基有限公司遵化爱琴海,凤凰南路西侧、通华东街南侧、水泉路东侧金凤华府-晶海广场商住综合体项目爱琴海城市广场一层1022B号商铺,手机点餐
内蒙古,乌兰察布市,天津肯德基有限公司丰镇迎宾路餐厅,迎宾大街凯帝斯华林商厦一层（1022）号铺位,手机点餐
内蒙古,包头市,天津肯德基有限公司土右旗喜玛特,萨拉齐镇九号金街229#楼A区一号铺,手机点餐
河北省,石家庄市,天津肯德基有限公司石家庄北郡DT ,中华北大街与赵佗路交口西南角“原北村宾馆”商业楼一层001商铺,手机点餐
天津市,天津市,天津肯德基有限公司金地万悦城DT,金钟河大街金地万悦城2号楼17门101和18门101铺位,
河北省,石家庄市,天津肯德基有限公司石家庄学府路,学府路118路公交站东侧至河北经贸大学东围墙学府路学生实习商务楼B一1一11号商铺,手机点餐
天津市,天津市,天津肯德基有限公司天津乐雅广场DT,新开口路与津围公路交口津侨国际小镇乐雅广场一期8号楼5-101 6-101 7-101 13-101 14-101 15-101铺位,
天津市,天津市,天津肯德基有限公司光合谷快闪,光合谷景区青年文化广场（鹦鹉餐厅前）1号铺位,"精选店,手机点餐"
河北省,邯郸市,天津肯德基有限公司邯郸新世纪,中华大街29号新世纪广场-负一层超市手扶梯口,手机点餐
天津市,天津市,天津肯德基有限公司天津工业大学,精武镇宾水道399号天津工业大学东苑回民食堂一楼1号01号,"Wi-Fi,手机点餐"
河北省,邢台市,天津肯德基有限公司邢台南宫信和,复兴路东侧北城街北侧一层001商铺,"店内参观,汽车穿梭店,手机点餐"
河北省,石家庄市,天津肯德基有限公司石家庄天山兴华DT,高新区4号地001商铺兴华超市北侧,手机点餐
河北省,廊坊市,天津肯德基有限公司廊坊银河路远洋DT,丰盛路以东、新源道以南、银河北路以西，商业5号楼1单元1层101号,"景点店,手机点餐"
天津市,天津市,天津远洋未来城餐厅,宜兴埠镇旧村改造4A地块项目三期（7号楼）,手机点餐
河北省,保定市,天津肯德基有限公司保定蠡县,平安路路北京客隆金融汽贸中心一层（东区）18号、19号,手机点餐
河北省,沧州市,天津肯德基有限公司沧州东塑大道,吉林大道沧州明珠新能源材料工业园项目仓库A座一层东1号,手机点餐
河北省,承德市,天津肯德基有限公司承德凤凰国际,高新区冯营子镇学院路凤凰国际一层0314-2051392,手机点餐
河北省,廊坊市,天津肯德基有限公司安平购物中心,安平镇103国道西侧H+超市一层F1-90号商铺,手机点餐
河北省,保定市,天津肯德基有限公司雄安容和,雄安新区容东片区D2组团0021宗地，容德东路与乐安北二街交叉口西北侧，门牌号：乐安北二街19号（1-4层）一层001商铺,手机点餐
天津市,天津市,天津肯德基有限公司天津中海环宇城,解放南路689号中海环宇城B1层B155铺位,手机点餐
天津市,天津市,天津肯德基有限公司和平印象城,南市街和平路119号和平印象城A座1楼17、28、55、56商铺,手机点餐
天津市,天津市,天津肯德基有限公司天津天宇DT,双港镇工业园区天宇荣昌创意园1-底商1、1-底商2、1-底商3一层铺位,手机点餐
河北省,石家庄市,天津肯德基有限公司石家庄西站房,石家庄火车站站内（出发层西北24号检票口楼上右侧）,手机点餐
天津市,天津市,天津肯德基有限公司西青一中心医院餐厅,侯台风景区东南侧新一中心医院一层101号铺位和负二层铺位号B101号,手机点餐
河北省,邯郸市,天津肯德基有限公司峰峰美食林,滏临北大街美食林广场西门肯德基餐厅,"店内参观,手机点餐"
河北省,秦皇岛市,天津肯德基有限公司秦皇岛蔚蓝海岸,蔚蓝海岸小镇中心4#馆一层01号,"精选店,手机点餐"
天津市,天津市,天津肯德基有限公司河南路道达尔DT,河南路101-3号商业用房（即原项目加气站部分）1层,手机点餐
河北省,邢台市,天津肯德基有限公司邢台巨鹿,健康路南侧、西平街东侧商业体一层001商铺,手机点餐
天津市,天津市,天津肯德基有限公司天津师范大学,师范大学朝晖道北侧商业街01号一层铺位,手机点餐
天津市,天津市,天津肯德基有限公司天津大邱庄天街DT ,大邱庄镇天街商业广场路铺位101、102号一层,
内蒙古,呼和浩特市,天津肯德基有限公司白塔机场到达层,白塔国际机场1F到达层东侧,手机点餐
河北省,廊坊市,天津肯德基有限公司金茂览秀城DT,瑞雪道以北、富余道以西、龙盘路以南、汇铭道以东金茂览秀城1层,景点店
河北省,承德市,天津肯德基有限公司双滦元宝街快闪,双塔山元宝山社区鼎盛王朝文化产业园满清文化精品廊S25#楼101号,手机点餐
天津市,天津市,天津肯德基有限公司天津登州路DT,登州路与卫国道交口一层A1号铺位,
河北省,廊坊市,天津肯德基有限公司廊坊临空中心,翔安路以东、天村一街以南、翔升路以西临空中心2001号,景点店
河北省,廊坊市,天津肯德基有限公司廊坊临空中心,翔安路以东、天村一街以南、翔升路以西临空中心2001号,景点店
天津市,天津市,天津肯德基有限公司天津登州路DT,登州路与卫国道交口一层A1号铺位,
河北省,廊坊市,天津肯德基有限公司金茂览秀城DT,瑞雪道以北、富余道以西、龙盘路以南、汇铭道以东金茂览秀城1层,景点店
河北省,承德市,天津肯德基有限公司双滦元宝街快闪,双塔山元宝山社区鼎盛王朝文化产业园满清文化精品廊S25#楼101号,手机点餐
河北省,张家口市,天津肯德基有限公司张家口五一广场,五一大街2区1号楼2号铺一层部分、3号铺一层，2号铺地下一层、3号铺地下一层,
天津市,天津市,天津肯德基有限公司国家会展中心 ,国家会展中心（天津）二期【2】层【B06】号商铺,手机点餐
内蒙古,呼和浩特市,天津肯德基有限公司爱民街中天DT,爱民街呼和春天1号院S1商业楼101，爱民街呼和春天1号院S1商业楼102号一层,手机点餐
河北省,唐山市,天津肯德基有限公司唐山丰润北购,曹雪芹西道北侧、车站路西侧唐山百货大楼集团北方购物广场101号,
河北省,唐山市,天津肯德基有限公司唐山揽月湾快闪,曹妃甸新城揽月湾景区东区沙滩A-001,手机点餐
河北省,唐山市,天津肯德基有限公司玉田北购,电话:6160092 玉田北方购物广场一层(喷泉北行50米),手机点餐
河北省,保定市,天津肯德基有限公司保定十方,建华南路32号惠友购物广场一层A-A-2号商铺,手机点餐
天津市,天津市,天津肯德基有限公司机场安检内二,滨海新区滨海国际机场T2航站楼安检内222登记口旁,
天津市,天津市,天津肯德基有限公司曙光水镇快闪,西堤头镇赵庄子村南曙光水镇内商业区别墅4号的场地,手机点餐
天津市,天津市,天津肯德基有限公司文化街甜品站,古文化街旅游商贸区内大狮子胡同美食坊甜品站1号房屋,"火车站店,手机点餐"
天津市,天津市,天津肯德基有限公司天津一汽丰田食堂快闪,第九大街81号一汽丰田汽车有限公司食堂内,火车站店
河北省,衡水市,天津肯德基有限公司衡水万达广场,"育才南大街699号衡水万达广场1019,1020,1021A号商铺",手机点餐
天津市,天津市,天津肯德基有限公司康万佳顶秀城 DT,望月路与渔阳路交口康万佳商业中心1#楼一层001铺位的一部分和一层002铺位,
内蒙古,鄂尔多斯市,天津肯德基有限公司鄂尔多斯金海路DT,水岸欣城中心公园西物业,汽车穿梭店
天津市,天津市,天津肯德基有限公司天津于家堡,于家堡金蕴道与新华路交口自贸大厦底商铺位（铺位号待甲方确认）,手机点餐
天津市,天津市,天津肯德基有限公司中石油三大街DT餐厅,第三大街以南、锦江街以北、惠中酒店以东、宜必思酒店以西,火车站店
河北省,唐山市,天津肯德基有限公司玉田北购,电话:6160092 玉田北方购物广场一层(喷泉北行50米),手机点餐
内蒙古,呼和浩特市,天津肯德基有限公司呼和浩特万中,大学东街万正广场1、2号裙楼一层1006号铺位总计使用面积为201.35平方米,火车站店
河北省,保定市,天津肯德基有限公司保定上谷大观,朝阳北大街西侧、横滨路南侧汇博·上谷大观A区2号楼一层2-15号、2-16号、2-17-1号,手机点餐
河北省,石家庄市,天津肯德基有限公司石家庄汇鑫广场,"丘头镇丘头村工业大街汇鑫广场一层1F—A12,1F—A13商铺",手机点餐
河北省,唐山市,天津肯德基有限公司玉田商业中心DT,城内旭升北路西侧、伯雍东街北侧玉田国际商业中心项目2#-1号一层101号、102号、103号、104号,
河北省,秦皇岛市,天津肯德基有限公司秦皇岛红旗路DT ,红旗路48号一层001号,景点店
内蒙古,呼和浩特市,天津肯德基有限公司呼和浩特恒泰,恒盛广场AB裙楼一层F1-2铺位总计使用面积为175平方米,手机点餐
河北省,唐山市,天津肯德基有限公司唐山荷花茗苑,复兴路170号一层6号(8071137),手机点餐
内蒙古,巴彦淖尔市,天津肯德基有限公司临河金川,金川大道黄河湾步行街3号楼一层132、134号商铺,
河北省,唐山市,天津肯德基有限公司玉田商业中心DT,城内旭升北路西侧、伯雍东街北侧玉田国际商业中心项目2#-1号一层101号、102号、103号、104号,
河北省,秦皇岛市,天津肯德基有限公司秦皇岛红旗路DT ,红旗路48号一层001号,景点店
天津市,天津市,天津肯德基有限公司天津意风快闪,意风区马可波罗广场东南侧（靠近一宫大门处）,火车站店
天津市,天津市,天津肯德基有限公司曙光水镇快闪,西堤头镇赵庄子村南曙光水镇内商业区别墅4号的场地,手机点餐
天津市,天津市,天津肯德基有限公司文化街甜品站,古文化街旅游商贸区内大狮子胡同美食坊甜品站1号房屋,"火车站店,手机点餐"
天津市,天津市,天津肯德基有限公司机场安检内二,滨海新区滨海国际机场T2航站楼安检内222登记口旁,
内蒙古,呼和浩特市,天津肯德基有限公司爱民街中天DT,爱民街呼和春天1号院S1商业楼101，爱民街呼和春天1号院S1商业楼102号一层,手机点餐
河北省,唐山市,天津肯德基有限公司唐山丰润北购,曹雪芹西道北侧、车站路西侧唐山百货大楼集团北方购物广场101号,
河北省,唐山市,天津肯德基有限公司唐山揽月湾快闪,曹妃甸新城揽月湾景区东区沙滩A-001,手机点餐
内蒙古,呼和浩特市,天津肯德基有限公司呼和浩特敕勒川,恼包村活力奥莱一层F1-20号铺位,手机点餐
河北省,邯郸市,天津肯德基有限公司新园美食林,友谊路1号东方万博园小区3S号楼1单元01号商铺,手机点餐
天津市,天津市,天津肯德基有限公司天津理工大学,李七庄街天津理工大学北部生活区23号楼底商-02,手机点餐
天津市,天津市,天津肯德基有限公司天津惠山道 ,归航路与惠山道交口处西北侧品香苑配套公建1立美商业广场一层1-1号铺位,
内蒙古,呼和浩特市,天津肯德基有限公司呼和浩特金地名峰餐厅,毫沁营北路金地名峰底商,手机点餐
河北省,邯郸市,天津肯德基有限公司邯郸中船汉光DT,中华北大街319号中船汉光创业中心北侧商场2号楼一层B1101、B1102商铺,
内蒙古,呼和浩特市,天津肯德基有限公司呼和浩特妇幼DT,万通路以西、察哈尔大街以北集通凯宸嘉苑4号商业楼一层14-15-16号铺位总计使用面积为174平方米,手机点餐
内蒙古,呼和浩特市,天津肯德基有限公司呼和浩特星河,桃花岛小区南门底商009、010一层铺位总计使用面积为174平方米,火车站店
天津市,天津市,天津肯德基有限公司港西丰收道DT,大港油田港西新城庆丰路交口280号经济适用房项目D-2地块（春阳南里）社区配套服务网点，1层铺位3及铺位4,手机点餐
河北省,廊坊市,天津肯德基有限公司固安国泰路DT,新兴园东方街22号5号楼1层01号总计使用面积为198平方米。,手机点餐
河北省,保定市,天津肯德基有限公司保定十方,建华南路32号惠友购物广场一层A-A-2号商铺,手机点餐
河北省,邢台市,天津肯德基有限公司天一生活广场,中兴西大街518号万隆商业中心1层商业103号商铺,景点店
河北省,石家庄市,天津肯德基有限公司正定砂之船,新区奥体街以东、河阳路以北砂之船奥莱一层B-1-14、B-1-15商铺,手机点餐
内蒙古,呼和浩特市,天津肯德基有限公司呼和浩特金地名峰餐厅,毫沁营北路金地名峰底商,手机点餐
河北省,石家庄市,天津肯德基有限公司石家庄北国汇新城,北国汇新城一层A106商铺,火车站店
内蒙古,呼和浩特市,天津肯德基有限公司呼和浩特学鲤DT,巴彦镇大学城学鲤高职园区18号楼一层2铺、3铺,手机点餐
天津市,天津市,天津肯德基有限公司北科大天津学院,珠江北环东路1号北京科技大学天津学院商业街22号商铺一层及23号商铺一层,手机点餐
河北省,廊坊市,天津肯德基有限公司燕郊尚京广场,学院大街南侧、燕昌路东侧尚京广场S5-2-101商铺,手机点餐
河北省,保定市,天津肯德基有限公司高碑悦百汇,世纪大街南侧天阔商业（悦百汇购物广场）一层101号,手机点餐
内蒙古,包头市,天津肯德基有限公司包头印象城,清源道与青山路交叉口西南角/街（路）商场一层第1018A 号,景点店
河北省,邢台市,天津肯德基有限公司天一生活广场,中兴西大街518号万隆商业中心1层商业103号商铺,景点店
河北省,石家庄市,天津肯德基有限公司正定砂之船,新区奥体街以东、河阳路以北砂之船奥莱一层B-1-14、B-1-15商铺,手机点餐
天津市,天津市,天津肯德基有限公司康万佳顶秀城 DT,望月路与渔阳路交口康万佳商业中心1#楼一层001铺位的一部分和一层002铺位,
河北省,石家庄市,天津肯德基有限公司石家庄东站房,东站房肯德基（出发层东北角2B，3B检票口上方）,"店内参观,手机点餐"
河北省,邯郸市,天津肯德基有限公司邯郸大名宣和,平安大街东侧大名府路北名城首府三期商业8-1-104铺、8-1-105铺、8-1-106商铺,手机点餐
河北省,张家口市,天津肯德基有限公司张家口五一广场,五一大街2区1号楼2号铺一层部分、3号铺一层，2号铺地下一层、3号铺地下一层,
内蒙古,呼和浩特市,天津肯德基有限公司呼和浩特恒泰,恒盛广场AB裙楼一层F1-2铺位总计使用面积为175平方米,手机点餐
河北省,唐山市,天津肯德基有限公司唐山荷花茗苑,复兴路170号一层6号(8071137),手机点餐
天津市,天津市,天津肯德基有限公司北科大天津学院,珠江北环东路1号北京科技大学天津学院商业街22号商铺一层及23号商铺一层,手机点餐
河北省,廊坊市,天津肯德基有限公司燕郊尚京广场,学院大街南侧、燕昌路东侧尚京广场S5-2-101商铺,手机点餐
河北省,石家庄市,天津肯德基有限公司石家庄北国汇新城,北国汇新城一层A106商铺,火车站店
天津市,天津市,天津肯德基有限公司国家会展中心 ,国家会展中心（天津）二期【2】层【B06】号商铺,手机点餐
天津市,天津市,天津肯德基有限公司天津一汽丰田食堂快闪,第九大街81号一汽丰田汽车有限公司食堂内,火车站店
河北省,邯郸市,天津肯德基有限公司邯郸中船汉光DT,中华北大街319号中船汉光创业中心北侧商场2号楼一层B1101、B1102商铺,
内蒙古,呼和浩特市,天津肯德基有限公司呼和浩特妇幼DT,万通路以西、察哈尔大街以北集通凯宸嘉苑4号商业楼一层14-15-16号铺位总计使用面积为174平方米,手机点餐
内蒙古,呼和浩特市,天津肯德基有限公司呼和浩特星河,桃花岛小区南门底商009、010一层铺位总计使用面积为174平方米,火车站店
天津市,天津市,天津肯德基有限公司中石油三大街DT餐厅,第三大街以南、锦江街以北、惠中酒店以东、宜必思酒店以西,火车站店
天津市,天津市,天津肯德基有限公司天津意风快闪,意风区马可波罗广场东南侧（靠近一宫大门处）,火车站店
天津市,天津市,天津肯德基有限公司港西丰收道DT,大港油田港西新城庆丰路交口280号经济适用房项目D-2地块（春阳南里）社区配套服务网点，1层铺位3及铺位4,手机点餐
河北省,廊坊市,天津肯德基有限公司固安国泰路DT,新兴园东方街22号5号楼1层01号总计使用面积为198平方米。,手机点餐
内蒙古,包头市,天津肯德基有限公司包头印象城,清源道与青山路交叉口西南角/街（路）商场一层第1018A 号,景点店
河北省,保定市,天津肯德基有限公司高碑悦百汇,世纪大街南侧天阔商业（悦百汇购物广场）一层101号,手机点餐
内蒙古,呼和浩特市,天津肯德基有限公司呼和浩特敕勒川,恼包村活力奥莱一层F1-20号铺位,手机点餐
河北省,邯郸市,天津肯德基有限公司新园美食林,友谊路1号东方万博园小区3S号楼1单元01号商铺,手机点餐
天津市,天津市,天津肯德基有限公司天津理工大学,李七庄街天津理工大学北部生活区23号楼底商-02,手机点餐
天津市,天津市,天津肯德基有限公司天津惠山道 ,归航路与惠山道交口处西北侧品香苑配套公建1立美商业广场一层1-1号铺位,
内蒙古,鄂尔多斯市,天津肯德基有限公司鄂尔多斯金海路DT,水岸欣城中心公园西物业,汽车穿梭店
天津市,天津市,天津肯德基有限公司天津于家堡,于家堡金蕴道与新华路交口自贸大厦底商铺位（铺位号待甲方确认）,手机点餐
内蒙古,呼和浩特市,天津肯德基有限公司呼和浩特学鲤DT,巴彦镇大学城学鲤高职园区18号楼一层2铺、3铺,手机点餐
河北省,石家庄市,天津肯德基有限公司石家庄东站房,东站房肯德基（出发层东北角2B，3B检票口上方）,"店内参观,手机点餐"
内蒙古,呼和浩特市,天津肯德基有限公司呼和浩特万中,大学东街万正广场1、2号裙楼一层1006号铺位总计使用面积为201.35平方米,火车站店
河北省,保定市,天津肯德基有限公司保定上谷大观,朝阳北大街西侧、横滨路南侧汇博·上谷大观A区2号楼一层2-15号、2-16号、2-17-1号,手机点餐
河北省,石家庄市,天津肯德基有限公司石家庄汇鑫广场,"丘头镇丘头村工业大街汇鑫广场一层1F—A12,1F—A13商铺",手机点餐
内蒙古,巴彦淖尔市,天津肯德基有限公司临河金川,金川大道黄河湾步行街3号楼一层132、134号商铺,
河北省,衡水市,天津肯德基有限公司衡水万达广场,"育才南大街699号衡水万达广场1019,1020,1021A号商铺",手机点餐
河北省,邯郸市,天津肯德基有限公司邯郸大名宣和,平安大街东侧大名府路北名城首府三期商业8-1-104铺、8-1-105铺、8-1-106商铺,手机点餐
辽宁省,大连市,大连北站,大连北站(南关岭火车站)二楼商业夹层,礼品卡
辽宁省,大连市,大连中山,中山路261号,"24小时,礼品卡"
辽宁省,大连市,周水子,大连机场一楼一号南航到达口,"Wi-Fi,点唱机,礼品卡"
辽宁省,大连市,金石,大连丹枫路1-1号,"Wi-Fi,礼品卡"
辽宁省,大连市,数码广场,大连高新技术产业园区数码路北段30号,"24小时,Wi-Fi,点唱机,礼品卡"
辽宁省,大连市,大连山东路餐厅,千山路28号,"Wi-Fi,点唱机"
辽宁省,大连市,恒隆,五四路66号大连恒隆广场4层404B,Wi-Fi
辽宁省,大连市,大连金三角餐厅,松江路2号,点唱机
天津市,天津市,滨海新区大连东道餐厅,滨海新区自贸试验区（中心商务区）旭升路347号滨海新区文化中心,Wi-Fi
贵州省,遵义市,大连路,汇川区大连路遵义时代天街项目H栋1层,"Wi-Fi,点唱机"
上海市,上海市,大连路,虹口区大连路555号一层1F-01及B1F-01,"Wi-Fi,点唱机"
天津市,天津市,大连东道甜品989,层南区演艺中心对面环廊处多经点位天津自贸试验区（中心商务区）旭升路347号滨海文化中心（一期）文化长廊二,
辽宁省,大连市,学府,大连大学斜对面金凯隆购物广场一楼,"Wi-Fi,点唱机,店内参观"
江西省,景德镇市,嘉里,大连路1666号赣东北商贸城A2-14路嘉里中心一层,"Wi-Fi,点唱机"
辽宁省,大连市,大连金地,甘井子区大连湾街道金地檀境艺学南园78号,Wi-Fi
辽宁省,大连市,高新万达,高新区黄浦路502号大连苏宁易购广场1F北门,"Wi-Fi,点唱机"
辽宁省,大连市,大连凯丹广场,长江东路80号凯丹广场1层F1-02 B-04,
辽宁省,大连市,大连凯丹广场,长江东路80号凯丹广场1层F1-02 B-04,
辽宁省,大连市,大连北站南1F,华北路666号大连北站南一楼,
辽宁省,大连市,大连北站南1F,华北路666号大连北站南一楼,
辽宁省,大连市,大连九州饭,胜利广场18号,
辽宁省,大连市,罗斯福外卖点,西安路139号大连罗斯福广场B1 层 B1121 号商铺,"Wi-Fi,点唱机"
辽宁省,大连市,罗斯福外卖点,西安路139号大连罗斯福广场B1 层 B1121 号商铺,"Wi-Fi,点唱机"
辽宁省,大连市,大连联合路DT,联合路185-1号1层南侧,
辽宁省,大连市,大连联合路DT,联合路185-1号1层南侧,
辽宁省,大连市,大连辰熙,中山路688号1层,"Wi-Fi,手机点餐"
辽宁省,大连市,大连科技学院,旅顺经济开发区海霞街10号一层,"24小时,手机点餐"
辽宁省,大连市,大连科技学院,旅顺经济开发区海霞街10号一层,"24小时,手机点餐"
辽宁省,大连市,大连辰熙,中山路688号1层,"Wi-Fi,手机点餐"
辽宁省,大连市,大连肯德基有限公司大连百合山庄 Smini,凌水路338号1层,手机点餐
辽宁省,大连市,大连肯德基有限公司大连百合山庄 Smini,凌水路338号1层,手机点餐
辽宁省,大连市,大连肯德基有限公司华南广场,山东路350号华南万象汇B117号商铺,手机点餐
辽宁省,大连市,大连肯德基有限公司华南广场,山东路350号华南万象汇B117号商铺,手机点餐
辽宁省,大连市,大连肯德基有限公司大连龙王塘,高新园区百顺园23-8号,手机点餐
辽宁省,大连市,大连肯德基有限公司大连招商花园城,"岭西路北、山东路西侧A2区，G层G1014,G1013B铺位",
辽宁省,大连市,大连肯德基有限公司大连理工,软件园路80号科技大厦B座1一层,手机点餐
